Seberapa sering Anda merasa kesulitan dalam menyelesaikan tugas kuliah?,Apakah Anda merasa bahwa beban tugas kuliah terlalu memberatkan Anda?,Seberapa sering Anda merasa kelelahan atau stres setelah mengerjakan tugas kuliah?,Apakah Anda merasa bahwa tenggat waktu tugas kuliah yang diberikan cukup realistis?,Seberapa sering Anda merasa khawatir tidak bisa menyelesaikan tugas tepat waktu?,Apakah Anda merasa bahwa beban tugas kuliah mempengaruhi keseimbangan kehidupan dan belajar Anda?,Apakah Anda merasa memiliki dukungan dari teman atau keluarga dalam menghadapi tekanan tugas kuliah?,Bagaimana Anda biasanya mengatasi perasaan stres atau frustrasi akibat tugas kuliah? (pilih yang sesuai),Apakah Anda merasa dukungan dari dosen atau staf kampus cukup membantu dalam menghadapi kesulitan tugas kuliah?,Seberapa sering Anda merasa cemas atau tertekan secara emosional dalam menghadapi tugas kuliah?,Apakah Anda merasa bahwa tekanan dari tugas kuliah mempengaruhi kualitas tidur atau pola tidur Anda?,Apakah tugas kuliah yang diberikan berdampak terhadap kesehatan mental Anda?
3,3,3,3,3,3,4,4,4,3,2,2
3,3,2,4,4,3,5,3,4,2,2,2
3,3,3,3,4,3,4,3,3,2,3,1
3,3,2,3,3,2,2,2,3,1,3,2
3,4,3,2,4,4,4,3,3,3,4,1
3,4,3,4,2,2,4,3,3,4,4,2
5,5,4,4,3,5,4,1,2,5,5,1
4,4,5,1,5,5,4,2,4,5,5,1
4,5,1,2,2,4,3,4,4,2,3,2
4,3,2,3,3,2,3,4,4,3,2,2
3,3,3,2,5,2,5,3,3,3,5,2
3,3,3,3,4,3,2,3,3,4,5,1
3,4,5,3,4,4,3,3,3,3,3,1
3,3,4,2,4,3,4,3,4,3,5,1
3,3,3,4,3,3,4,3,3,3,4,2
5,3,4,4,1,1,3,3,3,4,1,1
5,3,1,3,1,3,3,3,3,1,2,2
4,4,4,3,5,3,3,3,2,4,4,1
3,3,3,3,3,1,3,3,4,3,3,2
3,3,4,2,3,3,4,1,4,3,4,2
3,4,4,3,4,5,5,4,3,4,4,1
3,3,3,2,4,3,3,4,4,3,4,2
3,4,4,4,3,4,4,4,3,3,4,1
4,4,4,1,4,4,4,4,3,3,3,2
3,5,2,3,3,2,5,4,4,1,2,2
4,4,4,3,5,4,2,4,2,5,3,1
3,3,3,3,4,3,3,3,3,3,3,2
4,3,3,2,2,4,4,4,4,2,4,2
4,4,3,3,3,4,2,5,2,3,4,1
3,3,3,3,4,3,4,3,3,4,5,1
3,4,4,4,3,4,4,2,4,5,4,2
3,3,3,2,4,3,4,2,3,4,5,2
3,3,3,2,4,3,3,5,2,3,4,2
3,4,4,2,5,4,3,5,3,5,5,1
3,3,3,2,4,3,4,3,3,3,3,2
3,3,2,3,4,4,5,4,5,3,4,2
4,3,3,1,4,4,3,5,3,3,4,1
4,5,1,2,2,2,2,4,3,1,2,2
4,3,4,4,5,4,4,3,4,5,5,1
3,3,3,3,3,3,2,3,2,3,3,2
4,4,4,2,5,4,5,3,3,4,5,1
3,3,3,2,5,3,4,4,3,3,3,2
3,4,3,2,3,3,3,4,3,3,4,1
4,3,1,5,5,3,5,4,4,5,5,2
4,3,1,5,5,3,5,4,4,5,5,2
4,3,1,5,1,5,3,1,1,1,2,1
4,3,2,2,1,2,3,3,3,1,1,2
3,4,2,3,1,1,4,3,4,2,1,2
4,4,4,3,4,4,2,4,1,3,4,1
5,4,5,1,4,4,4,3,3,5,5,1
5,4,5,3,5,5,3,3,2,4,4,1
3,4,3,2,3,4,2,3,2,3,5,2
3,3,3,3,4,3,3,2,3,4,4,2
3,3,3,2,4,3,3,2,3,3,3,2
4,3,3,5,4,3,4,4,4,3,4,2
5,5,2,4,2,2,3,4,4,1,1,2
4,4,4,3,4,4,3,2,1,3,4,1
3,3,3,2,3,4,2,2,2,3,5,1
3,4,3,3,4,4,4,4,4,4,4,2
4,4,3,2,4,3,4,3,3,3,5,1
3,4,3,1,4,5,4,4,3,3,5,1
4,3,3,2,3,2,2,4,4,2,3,2
3,3,3,2,5,2,4,3,3,3,3,2
4,4,3,4,5,4,4,5,3,4,4,1
3,4,4,1,3,3,4,4,3,4,4,1
4,4,3,2,4,3,4,2,2,3,4,1
4,3,3,2,2,3,3,4,3,3,4,2
3,4,2,3,3,4,3,3,3,2,4,1
3,5,2,5,2,1,5,2,5,2,2,2
4,3,3,2,3,3,3,3,2,3,3,2
4,4,5,2,4,5,3,3,2,3,5,1
3,3,3,3,4,5,3,4,3,4,5,2
3,3,3,4,4,2,3,3,3,2,4,2
3,3,3,3,3,3,4,3,3,3,4,2
4,3,3,4,4,3,5,3,3,3,3,2
4,4,4,3,2,3,3,4,3,3,3,1
4,3,3,2,1,3,3,3,3,2,4,1
3,3,2,3,3,1,4,5,4,2,4,2
4,3,3,3,3,3,4,3,5,3,3,1
3,4,3,1,4,4,3,5,2,4,4,1
5,3,1,3,3,2,4,2,3,1,2,2
4,4,4,2,5,4,3,4,3,4,4,1
3,3,1,2,1,2,4,1,3,1,3,1
4,4,3,2,3,4,3,4,2,2,4,1
3,4,3,3,5,4,3,3,4,4,4,1
4,3,4,2,3,4,4,3,4,4,4,2
3,3,2,4,3,3,3,2,3,3,3,2
4,3,3,4,3,2,4,4,4,3,2,2
4,4,3,2,4,3,5,4,3,5,4,2
3,5,3,2,4,4,3,3,3,3,5,1
4,3,5,2,5,4,2,5,3,5,3,1
5,5,2,2,1,1,3,4,3,1,2,2
3,3,2,4,3,2,5,3,4,1,1,2
3,4,3,2,2,3,4,4,3,3,4,2
4,4,4,3,5,4,5,4,5,4,5,1
3,3,2,4,3,2,4,3,4,3,4,1
4,3,3,2,3,3,4,1,3,3,4,1
3,3,2,3,3,3,3,3,2,2,3,2
4,3,3,3,4,4,5,3,4,3,4,1
4,4,2,4,3,4,4,4,2,2,4,1
3,3,3,3,5,4,4,4,3,4,5,2
4,3,2,3,4,3,5,3,4,2,3,2
5,4,3,3,5,5,3,1,4,3,1,1
4,3,4,3,3,3,4,4,4,3,3,2
3,3,3,3,3,3,3,1,2,2,3,1
3,3,2,2,2,4,4,5,2,3,3,2
3,3,3,2,3,3,4,3,3,3,3,2
3,3,3,2,3,3,4,3,3,3,4,1
4,4,4,2,5,4,5,2,4,4,5,1
4,5,2,4,1,2,3,1,4,2,3,2
4,4,4,2,3,4,4,2,4,2,4,1
3,3,2,4,3,4,4,4,4,4,4,2
4,5,1,4,2,2,4,3,4,1,2,2
3,5,2,4,2,2,2,4,4,1,4,2
3,4,2,4,2,2,4,3,4,2,4,2
4,5,3,1,3,5,5,3,3,2,1,1
3,3,4,3,4,2,2,5,2,3,3,2
3,3,2,3,3,3,4,3,4,3,2,2
3,3,3,3,3,3,3,2,4,3,3,1
3,3,3,3,4,3,4,2,4,3,3,2
3,3,3,2,4,4,5,3,4,3,4,2
4,4,4,2,4,4,3,3,3,4,4,1
3,3,3,3,4,3,3,3,4,3,3,1
3,3,3,3,2,3,4,3,3,4,3,2
3,4,3,2,2,3,5,2,3,2,3,2
3,3,4,3,5,4,5,1,4,4,5,1
3,3,4,5,3,3,5,5,3,3,4,1
3,4,3,4,3,4,4,1,4,4,4,1
3,3,1,4,3,5,2,3,2,2,5,1
4,4,4,1,4,4,5,4,3,4,5,1
4,4,4,4,5,3,5,3,4,4,3,1
4,3,5,3,5,4,5,4,5,4,3,1
3,4,4,5,5,4,4,3,3,4,4,2
3,3,4,4,4,4,4,4,4,4,4,1
4,3,2,3,2,3,3,1,3,2,3,1
4,4,4,1,4,5,4,2,2,4,4,1
4,4,4,4,4,5,4,2,2,4,4,1
4,4,4,2,4,4,4,2,2,4,4,1
4,4,4,2,4,4,4,2,1,4,4,1
3,3,4,2,4,3,3,3,3,3,3,1
4,4,4,3,4,4,5,4,4,4,5,1
3,4,4,3,4,4,4,2,3,3,4,1
3,3,2,3,3,3,3,3,3,2,3,2
3,3,3,3,4,3,3,3,2,3,4,1
3,3,4,3,4,3,3,5,3,3,4,2
5,4,1,2,2,3,3,3,4,1,3,2
3,3,3,3,4,3,4,3,3,4,4,2
4,5,2,4,4,4,4,3,3,2,4,1
4,5,4,2,5,5,3,4,3,5,5,1
3,5,3,2,3,4,2,5,4,3,5,2
4,3,3,3,3,3,4,4,3,1,1,2
4,4,3,3,5,4,3,5,3,4,5,1
5,4,4,2,3,4,4,2,3,4,4,1
3,3,4,4,3,4,4,3,4,4,5,2
3,4,4,3,4,3,4,3,3,4,3,2
4,3,4,4,4,3,3,3,3,3,3,2
3,4,3,2,3,4,3,3,4,3,4,2
4,4,3,3,4,3,4,5,3,2,4,2
3,3,3,2,4,4,4,3,3,3,5,1
3,3,3,2,4,3,3,3,3,4,4,1
3,4,4,2,3,4,4,2,4,4,4,1
3,3,2,3,4,3,4,3,3,2,3,2
3,3,4,4,4,4,5,3,4,3,3,2
3,4,3,5,1,1,5,1,5,1,5,2
3,3,3,4,3,3,4,4,4,3,4,2
3,3,3,3,2,3,4,4,4,3,4,1
3,3,3,2,3,3,4,3,4,3,4,1
3,3,3,4,4,3,4,2,3,3,3,2
3,3,3,2,3,4,4,4,2,3,4,2
4,4,4,4,5,5,5,3,5,4,4,1
3,4,4,2,3,4,2,1,3,3,5,1
3,4,4,2,4,4,5,3,4,4,5,1
4,4,4,5,4,5,4,5,4,5,4,2
4,4,4,3,3,3,5,3,3,4,4,2
3,3,3,3,3,3,3,1,3,3,3,1
3,3,3,3,3,3,3,1,3,3,3,2
3,4,4,4,4,3,5,2,2,3,3,2
4,3,3,4,2,4,5,4,1,4,4,1
3,3,4,5,3,3,4,4,3,3,5,1
3,5,3,2,2,2,4,3,3,3,3,1
4,4,4,4,1,4,3,2,2,4,4,1
3,3,3,3,2,3,3,3,3,3,3,1
3,4,4,4,4,3,3,3,2,4,2,1
3,4,4,4,5,4,4,4,4,4,4,1
3,4,3,2,4,4,4,3,3,3,3,1
3,4,4,3,4,3,4,2,3,4,4,1
4,4,4,3,3,5,3,3,5,4,5,1
4,4,4,2,4,3,4,1,4,3,4,1
4,4,3,2,4,3,5,3,3,3,4,1
4,4,4,2,4,3,3,3,3,4,4,2
4,4,4,4,4,4,4,4,4,4,4,1
4,4,4,1,4,4,4,3,2,4,5,1
3,3,4,2,2,2,4,4,3,2,4,2
5,3,3,3,4,3,3,1,3,3,3,1
3,3,3,2,3,3,4,3,3,4,3,2
3,3,3,3,3,3,3,3,3,3,3,1
4,4,4,4,4,4,5,2,3,3,3,1
4,3,3,4,3,3,3,2,3,4,3,2
4,4,4,4,4,3,3,4,3,4,3,2
3,4,3,2,3,4,4,4,3,4,4,1
3,3,3,4,3,4,4,4,4,3,3,2
3,3,3,2,3,2,3,4,3,3,3,1
3,3,3,2,4,4,3,4,3,3,3,1
3,5,3,3,3,3,3,4,3,3,3,1
3,3,3,3,3,3,3,1,3,3,3,2
4,3,3,3,3,4,4,3,3,3,4,1
3,3,3,4,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,1,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,1
3,3,3,3,3,3,3,1,3,3,3,2
3,3,1,2,2,3,4,4,4,2,4,1
4,3,3,4,4,3,5,2,3,3,4,1
3,3,3,4,3,3,3,3,4,3,3,2
4,3,4,3,3,2,5,3,3,4,4,1
4,3,4,4,4,3,4,2,3,3,3,1
3,3,3,3,3,3,3,3,4,3,3,1
3,3,3,2,2,3,4,3,3,3,3,2
5,4,4,2,3,5,3,3,3,4,3,1
3,3,3,3,3,3,3,3,3,2,4,1
3,3,4,4,2,3,3,3,2,4,4,1
4,4,4,2,5,4,3,3,3,4,5,1
3,3,3,3,3,3,3,3,3,2,4,1
3,3,2,2,3,1,1,2,1,3,2,1
3,3,2,2,3,4,4,2,3,3,4,1
4,3,3,4,2,5,5,3,4,5,2,2
3,4,3,2,3,3,4,3,3,2,1,1
3,4,2,3,4,5,3,4,3,3,4,1
4,4,5,3,3,3,4,3,3,5,5,1
4,4,3,3,2,3,3,1,2,4,4,1
4,4,4,2,4,3,3,3,3,3,3,1
4,3,3,2,4,4,2,3,3,3,4,1
3,3,3,2,4,3,3,3,3,3,4,2
3,3,3,2,3,4,4,4,2,3,3,1
4,4,4,3,4,5,3,3,2,3,4,1
3,3,3,3,4,2,4,3,5,2,4,1
4,4,3,2,3,2,4,3,4,2,1,2
3,4,2,4,2,1,4,4,3,2,2,2
3,4,3,3,4,2,2,2,2,3,2,2
3,4,3,4,2,2,4,2,4,2,1,2
3,3,4,2,4,4,3,1,3,4,4,2
3,3,3,2,3,4,4,2,3,3,4,1
3,4,3,3,3,2,2,1,4,3,2,2
5,4,5,1,5,5,1,3,1,5,5,1
4,3,4,2,4,2,4,1,4,2,2,2
3,4,3,4,3,2,5,4,4,2,4,2
4,4,4,2,4,5,2,1,2,4,5,1
3,4,2,2,2,3,5,1,4,3,4,2
3,4,3,4,2,4,5,4,2,3,4,1
4,4,5,2,4,5,4,3,4,4,5,1
3,3,2,2,3,3,3,3,3,3,3,2
3,4,4,2,3,4,5,3,3,3,4,1
4,4,4,3,3,3,4,3,4,4,3,1
3,4,5,4,3,4,4,5,3,4,4,1
4,3,3,2,3,3,5,4,3,3,3,1
3,4,4,3,5,3,4,3,2,4,4,1
5,5,5,5,5,5,5,1,5,5,5,1
4,4,4,3,3,3,3,1,3,3,4,1
4,3,3,3,3,3,4,3,3,3,3,1
3,3,3,3,2,2,4,3,2,3,3,1
3,3,4,4,3,4,3,4,3,4,3,1
3,4,3,4,3,4,4,3,3,3,4,1
3,3,4,3,3,3,3,3,3,3,3,2
4,3,3,3,5,4,3,3,3,4,3,1
4,3,3,3,3,3,3,3,4,3,3,1
3,4,4,1,1,5,5,3,2,4,4,1
4,4,2,2,1,5,4,3,4,2,4,1
3,4,3,3,3,5,3,2,3,3,3,1
3,3,3,2,3,3,3,3,3,3,4,2
4,3,3,3,4,3,4,4,3,3,3,1
3,3,3,4,4,4,5,2,4,3,4,1
3,4,3,2,3,4,4,3,3,3,4,1
3,3,3,4,3,3,4,5,3,3,3,1
3,3,3,4,2,4,4,4,4,3,2,2
3,3,3,3,2,3,5,2,2,3,3,1
5,5,1,2,1,4,4,3,3,1,1,1
3,3,4,3,4,3,3,3,3,3,3,2
4,4,5,3,4,4,2,3,3,3,4,1
3,3,4,3,4,3,4,2,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,1
3,4,3,3,3,3,3,2,3,3,4,1
3,3,4,3,4,4,4,4,3,4,4,1
4,3,3,3,3,3,4,3,3,3,3,1
4,3,2,3,3,3,3,4,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,1
3,4,4,1,3,4,4,1,3,3,4,1
3,3,3,3,2,3,3,3,3,3,3,1
4,3,2,3,2,3,4,2,2,2,3,2
3,3,5,2,5,5,5,2,3,4,5,1
4,3,3,4,2,2,4,4,3,3,3,2
4,4,4,3,4,4,5,3,4,3,5,2
4,3,3,4,2,2,2,3,4,3,5,1
3,3,3,3,3,5,5,3,5,3,3,2
3,3,4,2,4,2,1,3,4,4,3,1
3,3,3,3,3,3,4,2,3,3,3,2
3,4,4,2,4,3,4,3,3,3,5,1
4,4,5,4,4,5,4,1,3,3,4,2
5,4,4,3,3,4,2,1,2,3,2,1
4,4,2,3,4,3,4,1,4,4,3,1
3,3,3,3,3,3,3,3,4,3,3,1
4,4,3,1,1,4,4,4,5,3,5,1
4,4,4,3,4,4,2,2,2,4,4,1
4,3,2,3,2,2,3,3,3,2,4,2
3,3,2,2,2,2,3,4,3,2,3,2
3,3,3,3,3,4,3,3,3,3,4,1
5,5,5,3,5,5,4,4,2,5,5,2
4,3,4,3,3,3,2,3,3,3,4,1
3,3,3,3,3,3,3,3,3,3,3,1
4,3,3,3,3,3,5,2,3,4,3,2
4,3,4,3,5,4,4,3,4,4,4,1
4,4,4,2,3,4,4,2,2,3,5,1
4,4,4,2,3,3,3,2,3,4,5,1
4,4,4,2,3,4,4,2,2,4,5,1
4,3,3,4,3,3,3,4,4,4,4,1
3,4,2,2,2,2,4,4,3,3,3,2
4,4,4,2,3,4,4,2,2,4,5,1
4,5,3,3,5,5,4,3,3,5,5,1
4,3,3,3,4,3,3,3,3,3,2,2
3,3,3,2,3,2,4,1,4,3,2,2
4,3,3,2,2,2,3,3,4,3,2,2
5,4,5,2,4,5,4,3,4,5,5,2
3,3,4,4,4,4,4,1,4,4,4,1
3,3,3,2,4,2,4,3,3,3,3,2
3,3,2,3,2,3,3,2,2,2,3,2
3,4,2,4,2,1,4,2,4,2,1,2
3,3,3,2,4,3,3,2,3,3,3,2
3,3,4,3,4,3,3,3,3,3,3,2
3,3,3,2,3,3,3,4,4,2,3,2
3,3,3,2,4,2,4,3,3,3,3,2
4,3,1,3,2,2,4,2,2,1,2,2
3,4,4,2,4,3,3,3,3,4,3,2
3,4,2,3,1,1,4,3,3,2,1,2
3,3,2,3,3,4,4,4,4,4,4,2
3,3,2,4,3,4,4,4,4,3,3,2
4,5,1,2,1,1,2,4,3,1,2,2
4,5,1,4,1,2,3,2,4,1,2,2
3,3,2,2,2,3,4,1,3,3,4,2
4,3,3,3,4,3,3,3,3,3,2,2
3,3,3,2,3,3,3,3,4,3,4,2
3,3,3,3,3,4,4,3,4,3,3,2
3,3,2,3,3,3,4,3,4,3,2,2
3,3,3,2,3,2,2,4,4,2,3,2
3,3,3,2,3,2,4,1,4,2,2,2
3,3,3,2,2,3,4,3,3,3,3,2
5,3,1,2,1,3,3,3,3,1,2,2
3,5,1,3,2,2,4,3,4,1,2,2
3,4,2,2,2,3,5,1,3,2,3,2
3,3,3,3,4,3,4,3,3,4,3,2
3,3,2,3,2,3,3,2,2,2,3,2
3,3,3,4,3,3,3,3,3,3,3,2
3,3,3,2,4,3,3,5,2,3,4,2
3,3,3,3,3,1,3,3,4,3,3,2
3,3,3,2,4,3,3,4,4,3,4,2
3,3,2,4,1,1,4,3,3,2,2,2
4,5,1,2,1,1,2,4,3,1,2,2
3,4,2,2,2,2,4,4,3,3,3,2
3,3,3,2,3,3,3,4,4,2,3,2
3,3,3,2,2,3,4,3,3,3,3,2
3,3,3,4,2,2,4,3,3,3,3,2
3,3,3,2,3,3,2,3,2,3,4,2
3,3,3,2,4,2,3,3,2,2,4,2
4,3,3,2,3,2,4,3,3,1,1,2
3,3,3,4,2,4,4,4,4,3,2,2
3,3,3,2,3,3,4,1,4,3,3,2
3,3,3,2,4,3,3,2,3,3,3,2
3,3,3,2,3,3,3,3,3,3,3,2
3,3,2,3,4,3,5,3,4,2,2,2
3,3,3,2,3,3,3,4,2,3,4,2
4,3,1,5,5,3,5,4,4,5,5,2
4,3,1,2,1,2,3,3,3,1,1,2
3,3,3,2,4,3,4,4,3,3,3,2
3,3,4,2,3,3,3,1,3,3,4,2
3,3,3,2,2,3,3,4,3,3,4,2
3,3,2,2,3,3,3,3,3,2,3,2
